ID,SENSSAvgMom,NotificationNum,NotificationNumQuad,NotificationNumCub
102,100,5,25,125
102,94,6,36,216
102,85,1,1,1
102,100,2,4,8
102,NA,3,9,27
102,92,4,16,64
102,90.5,5,25,125
102,94,6,36,216
102,80.5,1,1,1
102,100,2,4,8
102,80.5,3,9,27
102,90,4,16,64
102,93.5,5,25,125
102,85,6,36,216
102,84,1,1,1
102,88.5,2,4,8
102,93,3,9,27
102,95,4,16,64
102,85.5,5,25,125
102,76,6,36,216
102,81.5,1,1,1
102,82,2,4,8
102,91,3,9,27
102,89.5,4,16,64
102,82,5,25,125
102,93.5,6,36,216
102,79,1,1,1
102,87,2,4,8
102,85.5,3,9,27
102,NA,4,16,64
102,92,5,25,125
102,90.5,6,36,216
102,79.5,1,1,1
102,87.5,2,4,8
102,73.5,3,9,27
102,81.5,4,16,64
102,95.5,5,25,125
102,81,6,36,216
102,80,1,1,1
102,NA,2,4,8
102,75.5,3,9,27
102,69.5,4,16,64
102,78.5,5,25,125
102,92.5,6,36,216
102,79.5,1,1,1
102,83,2,4,8
102,84,3,9,27
102,83.5,4,16,64
102,78,5,25,125
102,79.5,6,36,216
102,74.5,1,1,1
102,84.5,2,4,8
102,77,3,9,27
102,89.5,4,16,64
102,78.5,5,25,125
102,88,6,36,216
102,87.5,1,1,1
102,82.5,2,4,8
102,81.5,3,9,27
102,84.5,4,16,64
102,86,5,25,125
102,82.5,6,36,216
102,87.5,1,1,1
102,75,2,4,8
102,83,3,9,27
102,88.5,4,16,64
102,83.5,5,25,125
102,82,6,36,216
102,82.5,1,1,1
102,49.5,2,4,8
102,NA,3,9,27
102,89,4,16,64
102,86.5,5,25,125
102,82,6,36,216
102,81.5,1,1,1
102,80,2,4,8
102,84,3,9,27
102,NA,4,16,64
102,76.5,5,25,125
102,85,6,36,216
102,78,1,1,1
102,85,2,4,8
102,78,3,9,27
102,89.5,4,16,64
102,70.5,5,25,125
102,82,6,36,216
102,87,1,1,1
102,92,2,4,8
102,NA,3,9,27
102,NA,4,16,64
102,91,5,25,125
102,88,6,36,216
102,89,1,1,1
102,86.5,2,4,8
102,NA,3,9,27
102,NA,4,16,64
102,89.5,5,25,125
102,86.5,6,36,216
102,85.5,1,1,1
102,NA,2,4,8
102,85,3,9,27
102,89.5,4,16,64
103,28,1,1,1
103,54,2,4,8
103,28,3,9,27
103,26.5,4,16,64
103,27,5,25,125
103,61.5,6,36,216
103,28,1,1,1
103,17.5,2,4,8
103,67,3,9,27
103,63.5,4,16,64
103,35.5,5,25,125
103,60,6,36,216
103,56,1,1,1
103,62,2,4,8
103,25,3,9,27
103,56.5,4,16,64
103,62.5,5,25,125
103,66,6,36,216
103,31.5,1,1,1
103,29,2,4,8
103,21.5,3,9,27
103,16.5,4,16,64
103,23.5,5,25,125
103,18,6,36,216
103,24.5,1,1,1
103,60.5,2,4,8
103,58,3,9,27
103,61,4,16,64
103,56.5,5,25,125
103,62,6,36,216
103,33.5,1,1,1
103,23,2,4,8
103,31.5,3,9,27
103,60.5,4,16,64
103,62,5,25,125
103,21.5,6,36,216
103,29,1,1,1
103,24,2,4,8
103,20.5,3,9,27
103,24.5,4,16,64
103,25.5,5,25,125
103,22.5,6,36,216
103,19,1,1,1
103,21.5,2,4,8
103,22.5,3,9,27
103,23,4,16,64
103,24.5,5,25,125
103,26.5,6,36,216
103,19.5,1,1,1
103,23,2,4,8
103,24.5,3,9,27
103,24,4,16,64
103,22,5,25,125
103,24.5,6,36,216
103,43.5,1,1,1
103,24,2,4,8
103,44.5,3,9,27
103,56,4,16,64
103,43.5,5,25,125
103,49,6,36,216
103,25,1,1,1
103,44,2,4,8
103,66.5,3,9,27
103,54.5,4,16,64
103,65.5,5,25,125
103,46,6,36,216
103,45,1,1,1
103,55,2,4,8
103,NA,3,9,27
103,68,4,16,64
103,72.5,5,25,125
103,69,6,36,216
103,43,1,1,1
103,NA,2,4,8
103,62,3,9,27
103,63.5,4,16,64
103,67.5,5,25,125
103,62,6,36,216
103,20.5,1,1,1
103,64.5,2,4,8
103,59.5,3,9,27
103,62.5,4,16,64
103,25,5,25,125
103,26.5,6,36,216
103,26.5,1,1,1
103,26.5,2,4,8
103,26,3,9,27
103,26,4,16,64
103,23.5,5,25,125
103,33,6,36,216
103,15,1,1,1
103,46,2,4,8
103,45,3,9,27
103,24.5,4,16,64
103,65.5,5,25,125
103,61,6,36,216
103,31,1,1,1
103,64,2,4,8
103,68,3,9,27
103,64.5,4,16,64
103,67.5,5,25,125
103,66,6,36,216
103,24,1,1,1
103,66,2,4,8
103,70,3,9,27
103,65,4,16,64
103,72,5,25,125
103,64,6,36,216
103,22.5,1,1,1
103,63.5,2,4,8
103,66,3,9,27
103,NA,4,16,64
103,67.5,5,25,125
103,60,6,36,216
103,27,1,1,1
103,64.5,2,4,8
103,60.5,3,9,27
103,60.5,4,16,64
103,49,5,25,125
103,49,6,36,216
103,49,1,1,1
103,49,2,4,8
103,49,3,9,27
103,49,4,16,64
103,49,5,25,125
103,49,6,36,216
104,55,1,1,1
104,57,2,4,8
104,87,3,9,27
104,91,4,16,64
104,92,5,25,125
104,41,6,36,216
104,34,1,1,1
104,NA,2,4,8
104,NA,3,9,27
104,67,4,16,64
104,34.5,5,25,125
104,91.5,6,36,216
104,18,1,1,1
104,91.5,2,4,8
104,86,3,9,27
104,75,4,16,64
104,99,5,25,125
104,72,6,36,216
104,39.5,1,1,1
104,46.5,2,4,8
104,65.5,3,9,27
104,81.5,4,16,64
104,50,5,25,125
104,41,6,36,216
104,52.5,1,1,1
104,73.5,2,4,8
104,56.5,3,9,27
104,NA,4,16,64
104,NA,5,25,125
104,62.5,6,36,216
104,61.5,1,1,1
104,NA,2,4,8
104,NA,3,9,27
104,NA,4,16,64
104,NA,5,25,125
104,NA,6,36,216
104,20.5,1,1,1
104,NA,2,4,8
104,26.5,3,9,27
104,54.5,4,16,64
104,NA,5,25,125
104,NA,6,36,216
104,64.5,1,1,1
104,66,2,4,8
104,61,3,9,27
104,64,4,16,64
104,55.5,5,25,125
104,33,6,36,216
104,79,1,1,1
104,79.5,2,4,8
104,65,3,9,27
104,54,4,16,64
104,NA,5,25,125
104,57,6,36,216
104,69,1,1,1
104,73.5,2,4,8
104,NA,3,9,27
104,78.5,4,16,64
104,67,5,25,125
104,NA,6,36,216
104,70,1,1,1
104,NA,2,4,8
104,78.5,3,9,27
104,79.5,4,16,64
104,81,5,25,125
104,79,6,36,216
104,64,1,1,1
104,69,2,4,8
104,NA,3,9,27
104,78,4,16,64
104,63,5,25,125
104,41.5,6,36,216
104,39,1,1,1
104,NA,2,4,8
104,69.5,3,9,27
104,69,4,16,64
104,NA,5,25,125
104,33,6,36,216
104,26,1,1,1
104,26.5,2,4,8
104,30.5,3,9,27
104,34.5,4,16,64
104,36.5,5,25,125
104,41,6,36,216
104,54.5,1,1,1
104,13.5,2,4,8
104,54.5,3,9,27
104,NA,4,16,64
104,57.5,5,25,125
104,75.5,6,36,216
104,61,1,1,1
104,61.5,2,4,8
104,61.5,3,9,27
104,63.5,4,16,64
104,56.5,5,25,125
104,59.5,6,36,216
104,58,1,1,1
104,48.5,2,4,8
104,66.5,3,9,27
104,58,4,16,64
104,54,5,25,125
104,84,6,36,216
104,79,1,1,1
104,58,2,4,8
104,87.5,3,9,27
104,78.5,4,16,64
104,NA,5,25,125
104,79,6,36,216
104,64,1,1,1
104,NA,2,4,8
104,79.5,3,9,27
104,81,4,16,64
104,85,5,25,125
104,NA,6,36,216
104,77,1,1,1
104,NA,2,4,8
104,69.5,3,9,27
104,76.5,4,16,64
104,84,5,25,125
104,43.5,6,36,216
104,25,1,1,1
104,54.5,2,4,8
104,NA,3,9,27
104,NA,4,16,64
104,25,5,25,125
105,65.5,1,1,1
105,NA,2,4,8
105,26,3,9,27
105,34,4,16,64
105,NA,5,25,125
105,30.5,6,36,216
105,53,1,1,1
105,44,2,4,8
105,46.5,3,9,27
105,63,4,16,64
105,50.5,5,25,125
105,36.5,6,36,216
105,38.5,1,1,1
105,64,2,4,8
105,66.5,3,9,27
105,84,4,16,64
105,71,5,25,125
105,70.5,6,36,216
105,58.5,1,1,1
105,42.5,2,4,8
105,34,3,9,27
105,50.5,4,16,64
105,74.5,5,25,125
105,74,6,36,216
105,19.5,1,1,1
105,68,2,4,8
105,66,3,9,27
105,73,4,16,64
105,41,5,25,125
105,38.5,6,36,216
105,39,1,1,1
105,36.5,2,4,8
105,45,3,9,27
105,NA,4,16,64
105,41.5,5,25,125
105,65,6,36,216
105,66.5,1,1,1
105,NA,2,4,8
105,NA,3,9,27
105,83,4,16,64
105,62,5,25,125
105,72,6,36,216
105,66,1,1,1
105,68,2,4,8
105,68.5,3,9,27
105,NA,4,16,64
105,82.5,5,25,125
105,68,6,36,216
105,71.5,1,1,1
105,85,2,4,8
105,83,3,9,27
105,75.5,4,16,64
105,NA,5,25,125
105,60.5,6,36,216
105,69.5,1,1,1
105,67.5,2,4,8
105,68,3,9,27
105,57,4,16,64
105,NA,5,25,125
105,73,6,36,216
105,44.5,1,1,1
105,57,2,4,8
105,44,3,9,27
105,49.5,4,16,64
105,59.5,5,25,125
105,83.5,6,36,216
105,59.5,1,1,1
105,57,2,4,8
105,64,3,9,27
105,53.5,4,16,64
105,63,5,25,125
105,74,6,36,216
105,36,1,1,1
105,59.5,2,4,8
105,NA,3,9,27
105,48.5,4,16,64
105,65,5,25,125
105,69.5,6,36,216
105,39.5,1,1,1
105,63,2,4,8
105,66,3,9,27
105,36,4,16,64
105,NA,5,25,125
105,70.5,6,36,216
105,43.5,1,1,1
105,23,2,4,8
105,62,3,9,27
105,61,4,16,64
105,67,5,25,125
105,79.5,6,36,216
105,64.5,1,1,1
105,48,2,4,8
105,39.5,3,9,27
105,NA,4,16,64
105,49.5,5,25,125
105,47.5,6,36,216
105,42.5,1,1,1
105,36.5,2,4,8
105,63.5,3,9,27
105,57,4,16,64
105,48.5,5,25,125
105,46.5,6,36,216
105,78.5,1,1,1
105,59.5,2,4,8
105,68,3,9,27
105,45,4,16,64
105,61.5,5,25,125
105,70,6,36,216
105,49.5,1,1,1
105,39.5,2,4,8
105,NA,3,9,27
105,NA,4,16,64
105,65.5,5,25,125
105,71.5,6,36,216
105,45.5,1,1,1
105,NA,2,4,8
105,37,3,9,27
105,63,4,16,64
105,45.5,5,25,125
105,41,6,36,216
105,67.5,1,1,1
105,60,2,4,8
105,73.5,3,9,27
105,65.5,4,16,64
105,69,5,25,125
105,63,6,36,216
106,85,1,1,1
106,NA,2,4,8
106,100,3,9,27
106,84,4,16,64
106,86,5,25,125
106,91,6,36,216
106,85,1,1,1
106,69,2,4,8
106,73.5,3,9,27
106,75,4,16,64
106,80,5,25,125
106,65.5,6,36,216
106,45,1,1,1
106,70,2,4,8
106,75.5,3,9,27
106,81.5,4,16,64
106,67,5,25,125
106,65,6,36,216
106,72.5,1,1,1
106,NA,2,4,8
106,69,3,9,27
106,65.5,4,16,64
106,60,5,25,125
106,73,6,36,216
106,80,1,1,1
106,82.5,2,4,8
106,82,3,9,27
106,79,4,16,64
106,93,5,25,125
106,84.5,6,36,216
106,63,1,1,1
106,85.5,2,4,8
106,73,3,9,27
106,84,4,16,64
106,95.5,5,25,125
106,74,6,36,216
106,85.5,1,1,1
106,NA,2,4,8
106,87,3,9,27
106,82.5,4,16,64
106,78,5,25,125
106,79.5,6,36,216
106,77.5,1,1,1
106,NA,2,4,8
106,94,3,9,27
106,72.5,4,16,64
106,79,5,25,125
106,64,6,36,216
106,85,1,1,1
106,82,2,4,8
106,91,3,9,27
106,96,4,16,64
106,83,5,25,125
106,NA,6,36,216
106,82,1,1,1
106,82,2,4,8
106,82.5,3,9,27
106,77,4,16,64
106,77.5,5,25,125
106,85,6,36,216
106,69.5,1,1,1
106,80,2,4,8
106,76,3,9,27
106,84,4,16,64
106,71.5,5,25,125
106,75,6,36,216
106,85.5,1,1,1
106,78,2,4,8
106,NA,3,9,27
106,NA,4,16,64
106,65.5,5,25,125
106,72,6,36,216
106,75.5,1,1,1
106,90,2,4,8
106,100,3,9,27
106,81,4,16,64
106,99,5,25,125
106,85.5,6,36,216
106,82.5,1,1,1
106,100,2,4,8
106,90.5,3,9,27
106,90.5,4,16,64
106,84.5,5,25,125
106,80,6,36,216
106,92,1,1,1
106,82,2,4,8
106,85,3,9,27
106,100,4,16,64
106,89,5,25,125
106,55.5,6,36,216
106,81.5,1,1,1
106,100,2,4,8
106,73,3,9,27
106,76,4,16,64
106,69.5,5,25,125
106,67.5,6,36,216
106,77,1,1,1
106,91,2,4,8
106,88,3,9,27
106,76.5,4,16,64
106,80.5,5,25,125
106,71.5,6,36,216
106,52.5,1,1,1
106,83.5,2,4,8
106,93.5,3,9,27
106,67.5,4,16,64
106,66,5,25,125
106,49,6,36,216
106,87.5,1,1,1
106,80.5,2,4,8
106,69.5,3,9,27
106,91.5,4,16,64
106,89.5,5,25,125
106,99,6,36,216
106,81,1,1,1
106,80.5,2,4,8
106,78,3,9,27
106,63,4,16,64
106,70.5,5,25,125
106,81,6,36,216
106,55,1,1,1
106,73.5,2,4,8
106,74,3,9,27
106,NA,4,16,64
106,76,5,25,125
106,58.5,6,36,216
107,57,1,1,1
107,65.5,2,4,8
107,65.5,3,9,27
107,61.5,4,16,64
107,64.5,5,25,125
107,67.5,6,36,216
107,67,1,1,1
107,66,2,4,8
107,69,3,9,27
107,NA,4,16,64
107,74,5,25,125
107,74.5,6,36,216
107,64,1,1,1
107,68.5,2,4,8
107,69,3,9,27
107,69,4,16,64
107,66.5,5,25,125
107,74,6,36,216
107,67,1,1,1
107,73,2,4,8
107,64.5,3,9,27
107,72.5,4,16,64
107,69,5,25,125
107,75,6,36,216
107,59.5,1,1,1
107,70,2,4,8
107,72,3,9,27
107,74,4,16,64
107,74,5,25,125
107,83,6,36,216
107,76.5,1,1,1
107,70,2,4,8
107,69,3,9,27
107,71,4,16,64
107,69,5,25,125
107,71,6,36,216
107,70,1,1,1
107,71,2,4,8
107,65,3,9,27
107,67.5,4,16,64
107,66.5,5,25,125
107,66,6,36,216
107,75.5,1,1,1
107,69,2,4,8
107,73.5,3,9,27
107,71,4,16,64
107,67,5,25,125
107,68.5,6,36,216
107,66.5,1,1,1
107,83.5,2,4,8
107,70.5,3,9,27
107,69.5,4,16,64
107,67,5,25,125
107,63.5,6,36,216
107,68,1,1,1
107,68.5,2,4,8
107,60.5,3,9,27
107,65,4,16,64
107,68,5,25,125
107,67,6,36,216
107,73,1,1,1
107,71,2,4,8
107,NA,3,9,27
107,76.5,4,16,64
107,89.5,5,25,125
107,81.5,6,36,216
107,78,1,1,1
107,NA,2,4,8
107,70,3,9,27
107,68,4,16,64
107,73,5,25,125
107,68,6,36,216
107,67,1,1,1
107,73,2,4,8
107,72.5,3,9,27
107,70.5,4,16,64
107,74,5,25,125
107,67,6,36,216
107,73,1,1,1
107,75,2,4,8
107,64.5,3,9,27
107,69,4,16,64
107,73,5,25,125
107,61,6,36,216
107,66.5,1,1,1
107,72.5,2,4,8
107,71,3,9,27
107,71,4,16,64
107,69.5,5,25,125
107,67,6,36,216
107,65,1,1,1
107,69,2,4,8
107,69,3,9,27
107,68.5,4,16,64
107,68,5,25,125
107,76,6,36,216
107,60.5,1,1,1
107,72.5,2,4,8
107,74,3,9,27
107,NA,4,16,64
107,71,5,25,125
107,71,6,36,216
107,69,1,1,1
107,74,2,4,8
107,70,3,9,27
107,71.5,4,16,64
107,74.5,5,25,125
107,66,6,36,216
107,76,1,1,1
107,NA,2,4,8
107,75,3,9,27
107,77.5,4,16,64
107,71.5,5,25,125
107,73.5,6,36,216
107,78.5,1,1,1
107,73,2,4,8
107,69.5,3,9,27
107,74.5,4,16,64
107,75.5,5,25,125
107,69.5,6,36,216
107,70,1,1,1
107,74,2,4,8
107,69,3,9,27
107,70,4,16,64
107,71.5,5,25,125
107,71,6,36,216
108,84,1,1,1
108,NA,2,4,8
108,60.5,3,9,27
108,48,4,16,64
108,67.5,5,25,125
108,97.5,6,36,216
108,25.5,1,1,1
108,49.5,2,4,8
108,26,3,9,27
108,38.5,4,16,64
108,31,5,25,125
108,74,6,36,216
108,66,1,1,1
108,35.5,2,4,8
108,100,3,9,27
108,7.5,4,16,64
108,66,5,25,125
108,82.5,6,36,216
108,49.5,1,1,1
108,71.5,2,4,8
108,69.5,3,9,27
108,73,4,16,64
108,34,5,25,125
108,74.5,6,36,216
108,80.5,1,1,1
108,81.5,2,4,8
108,85.5,3,9,27
108,55.5,4,16,64
108,30.5,5,25,125
108,69.5,6,36,216
108,73.5,1,1,1
108,73,2,4,8
108,69,3,9,27
108,48,4,16,64
108,28.5,5,25,125
108,78.5,6,36,216
108,69.5,1,1,1
108,70.5,2,4,8
108,28.5,3,9,27
108,49,4,16,64
108,NA,5,25,125
108,50,6,36,216
108,74.5,1,1,1
108,77.5,2,4,8
108,34.5,3,9,27
108,58,4,16,64
108,29.5,5,25,125
108,66.5,6,36,216
108,64.5,1,1,1
108,49.5,2,4,8
108,5.5,3,9,27
108,76.5,4,16,64
108,73.5,5,25,125
108,79,6,36,216
108,62.5,1,1,1
108,66.5,2,4,8
108,71.5,3,9,27
108,NA,4,16,64
108,57,5,25,125
108,75.5,6,36,216
108,75,1,1,1
108,NA,2,4,8
108,100,3,9,27
108,100,4,16,64
108,53,5,25,125
108,13.5,6,36,216
108,53,1,1,1
108,NA,2,4,8
108,71.5,3,9,27
108,56,4,16,64
108,29.5,5,25,125
108,84.5,6,36,216
108,87.5,1,1,1
108,54,2,4,8
108,94.5,3,9,27
108,76.5,4,16,64
108,75,5,25,125
108,16,6,36,216
108,12,1,1,1
108,26.5,2,4,8
108,49.5,3,9,27
108,71,4,16,64
108,NA,5,25,125
108,77,6,36,216
108,52,1,1,1
108,78.5,2,4,8
108,56.5,3,9,27
108,79,4,16,64
108,17,5,25,125
108,70.5,6,36,216
108,21.5,1,1,1
108,52,2,4,8
108,23,3,9,27
108,23.5,4,16,64
108,23,5,25,125
108,42.5,6,36,216
108,80,1,1,1
108,52,2,4,8
108,55.5,3,9,27
108,21,4,16,64
108,53,5,25,125
108,47,6,36,216
108,29,1,1,1
108,12.5,2,4,8
108,NA,3,9,27
108,47.5,4,16,64
108,47.5,5,25,125
108,75.5,6,36,216
108,24.5,1,1,1
108,52,2,4,8
108,38,3,9,27
108,54.5,4,16,64
108,29,5,25,125
108,24,6,36,216
108,79.5,1,1,1
108,22,2,4,8
108,51.5,3,9,27
108,55.5,4,16,64
108,50,5,25,125
108,53,6,36,216
108,17.5,1,1,1
108,57,2,4,8
108,52.5,3,9,27
108,24.5,4,16,64
108,45.5,5,25,125
108,51,6,36,216
109,NA,1,1,1
109,NA,2,4,8
109,NA,3,9,27
109,NA,4,16,64
109,NA,5,25,125
109,NA,6,36,216
109,NA,1,1,1
109,NA,2,4,8
109,NA,3,9,27
109,NA,4,16,64
109,NA,5,25,125
109,NA,6,36,216
109,NA,1,1,1
109,NA,2,4,8
109,NA,3,9,27
109,NA,4,16,64
109,NA,5,25,125
109,NA,6,36,216
109,NA,1,1,1
109,NA,2,4,8
109,NA,3,9,27
109,NA,4,16,64
109,NA,5,25,125
109,NA,6,36,216
109,NA,1,1,1
109,NA,2,4,8
109,NA,3,9,27
109,NA,4,16,64
109,NA,5,25,125
109,NA,6,36,216
109,NA,1,1,1
109,NA,2,4,8
109,NA,3,9,27
109,NA,4,16,64
109,NA,5,25,125
109,NA,6,36,216
109,27.5,1,1,1
109,NA,2,4,8
109,NA,3,9,27
109,NA,4,16,64
109,NA,5,25,125
109,30,6,36,216
109,54,1,1,1
109,67,2,4,8
109,65,3,9,27
109,NA,4,16,64
109,NA,5,25,125
109,74,6,36,216
109,52.5,1,1,1
109,NA,2,4,8
109,NA,3,9,27
109,NA,4,16,64
109,68,5,25,125
109,70.5,6,36,216
109,47.5,1,1,1
109,NA,2,4,8
109,NA,3,9,27
109,NA,4,16,64
109,NA,5,25,125
109,76.5,6,36,216
109,NA,1,1,1
109,NA,2,4,8
109,NA,3,9,27
109,NA,4,16,64
109,NA,5,25,125
109,NA,6,36,216
109,NA,1,1,1
109,NA,2,4,8
109,NA,3,9,27
109,NA,4,16,64
109,NA,5,25,125
109,70,6,36,216
109,57.5,1,1,1
109,NA,2,4,8
109,NA,3,9,27
109,NA,4,16,64
110,96,1,1,1
110,100,2,4,8
110,82,3,9,27
110,84.5,4,16,64
110,89,5,25,125
110,86,6,36,216
110,97.5,1,1,1
110,81,2,4,8
110,100,3,9,27
110,83.5,4,16,64
110,90.5,5,25,125
110,53,6,36,216
110,92,1,1,1
110,80.5,2,4,8
110,80.5,3,9,27
110,88,4,16,64
110,85,5,25,125
110,26,6,36,216
110,91,1,1,1
110,90,2,4,8
110,83.5,3,9,27
110,86,4,16,64
110,88.5,5,25,125
110,77.5,6,36,216
110,85.5,1,1,1
110,89.5,2,4,8
110,64.5,3,9,27
110,90,4,16,64
110,85.5,5,25,125
110,85,6,36,216
110,NA,1,1,1
110,86,2,4,8
110,NA,3,9,27
110,NA,4,16,64
110,NA,5,25,125
110,88.5,6,36,216
110,NA,1,1,1
110,NA,2,4,8
110,83,3,9,27
110,NA,4,16,64
110,NA,5,25,125
110,94.5,6,36,216
110,99.5,1,1,1
110,91,2,4,8
110,97.5,3,9,27
110,NA,4,16,64
110,88,5,25,125
110,100,6,36,216
110,58.5,1,1,1
110,NA,2,4,8
110,NA,3,9,27
110,NA,4,16,64
110,51,5,25,125
110,65,6,36,216
110,87,1,1,1
110,79,2,4,8
110,NA,3,9,27
110,95,4,16,64
110,90,5,25,125
110,77,6,36,216
110,77.5,1,1,1
110,NA,2,4,8
110,NA,3,9,27
110,NA,4,16,64
110,NA,5,25,125
110,NA,6,36,216
110,NA,1,1,1
110,NA,2,4,8
110,NA,3,9,27
110,77,4,16,64
110,NA,5,25,125
110,NA,6,36,216
110,NA,1,1,1
110,NA,2,4,8
111,78,1,1,1
111,73,2,4,8
111,77,3,9,27
111,77.5,4,16,64
111,70.5,5,25,125
111,84.5,6,36,216
111,88.5,1,1,1
111,84,2,4,8
111,86.5,3,9,27
111,84,4,16,64
111,89,5,25,125
111,79,6,36,216
111,85.5,1,1,1
111,85.5,2,4,8
111,80,3,9,27
111,88,4,16,64
111,76,5,25,125
111,79.5,6,36,216
111,85.5,1,1,1
111,86,2,4,8
111,84.5,3,9,27
111,82.5,4,16,64
111,83,5,25,125
111,82,6,36,216
111,84.5,1,1,1
111,85.5,2,4,8
111,84,3,9,27
111,84,4,16,64
111,95,5,25,125
111,88.5,6,36,216
111,86.5,1,1,1
111,87,2,4,8
111,87,3,9,27
111,87,4,16,64
111,92.5,5,25,125
111,90.5,6,36,216
111,88.5,1,1,1
111,66.5,2,4,8
111,73,3,9,27
111,69.5,4,16,64
111,81,5,25,125
111,87,6,36,216
111,86.5,1,1,1
111,74.5,2,4,8
111,78.5,3,9,27
111,86,4,16,64
111,79.5,5,25,125
111,82,6,36,216
111,79,1,1,1
111,79.5,2,4,8
111,65.5,3,9,27
111,96.5,4,16,64
111,82.5,5,25,125
111,69,6,36,216
111,74,1,1,1
111,82,2,4,8
111,77.5,3,9,27
111,77.5,4,16,64
111,86,5,25,125
111,81.5,6,36,216
111,83.5,1,1,1
111,NA,2,4,8
111,88,3,9,27
111,82.5,4,16,64
111,82,5,25,125
111,82.5,6,36,216
111,80,1,1,1
111,74,2,4,8
111,81.5,3,9,27
111,78.5,4,16,64
111,82,5,25,125
111,76,6,36,216
111,79.5,1,1,1
111,75.5,2,4,8
111,65,3,9,27
111,76.5,4,16,64
111,75.5,5,25,125
111,68,6,36,216
111,65.5,1,1,1
111,66,2,4,8
111,76,3,9,27
111,71,4,16,64
111,68,5,25,125
111,61,6,36,216
111,73,1,1,1
111,83,2,4,8
111,69.5,3,9,27
111,68,4,16,64
111,79.5,5,25,125
111,73.5,6,36,216
111,69.5,1,1,1
111,79,2,4,8
111,85,3,9,27
111,76.5,4,16,64
111,74,5,25,125
111,80.5,6,36,216
111,78.5,1,1,1
111,71,2,4,8
111,75,3,9,27
111,72.5,4,16,64
111,69.5,5,25,125
111,83.5,6,36,216
111,75.5,1,1,1
111,80,2,4,8
111,74,3,9,27
111,75,4,16,64
111,87,5,25,125
111,77,6,36,216
111,74,1,1,1
111,81,2,4,8
111,80,3,9,27
111,79.5,4,16,64
111,76,5,25,125
111,75.5,6,36,216
111,71.5,1,1,1
111,74,2,4,8
111,79,3,9,27
111,76.5,4,16,64
111,76,5,25,125
111,78.5,6,36,216
111,76.5,1,1,1
111,79,2,4,8
111,80,3,9,27
111,75.5,4,16,64
111,81,5,25,125
111,70,6,36,216
113,4.5,1,1,1
113,38,2,4,8
113,57.5,3,9,27
113,11,4,16,64
113,13.5,5,25,125
113,30,6,36,216
113,12,1,1,1
113,23,2,4,8
113,15,3,9,27
113,1,4,16,64
113,19.5,5,25,125
113,25,6,36,216
113,1,1,1,1
113,33,2,4,8
113,1,3,9,27
113,10,4,16,64
113,11.5,5,25,125
113,18.5,6,36,216
113,5.5,1,1,1
113,22,2,4,8
