ID,MinutesElapsed,SENSSAvgMom
102,500,85
102,583,78
102,663,89.5
102,740,70.5
102,806,82
102,,
102,250,87
102,455,92
102,507,
102,599,
102,639,91
102,798,88
102,,
102,250,89
102,471,86.5
102,560,
102,625,
102,658,89.5
102,694,86.5
102,,
102,250,85.5
102,495,
102,566,85
102,634,89.5
102,,
103,60,28
103,274,54
103,351,28
103,415,26.5
103,505,27
103,650,61.5
103,,
103,60,28
103,234,17.5
103,310,67
103,355,63.5
103,437,35.5
103,617,60
103,,
103,60,56
103,233,62
103,282,25
103,325,56.5
103,412,62.5
103,491,66
103,,
103,60,31.5
103,257,29
103,312,21.5
103,389,16.5
103,511,23.5
103,580,18
103,,
103,60,24.5
103,270,60.5
103,314,58
103,439,61
103,559,56.5
103,677,62
103,,
103,60,33.5
103,235,23
103,301,31.5
103,339,60.5
103,412,62
103,446,21.5
103,,
103,60,29
103,225,24
103,311,20.5
103,385,24.5
103,478,25.5
103,538,22.5
103,,
103,60,19
103,227,21.5
103,326,22.5
103,361,23
103,489,24.5
103,620,26.5
103,,
103,60,19.5
103,213,23
103,328,24.5
103,375,24
103,464,22
103,686,24.5
103,,
103,60,43.5
103,252,24
103,285,44.5
103,418,56
103,503,43.5
103,597,49
103,,
103,60,25
103,278,44
103,365,66.5
103,443,54.5
103,552,65.5
103,643,46
103,,
103,60,45
103,271,55
103,320,
103,381,68
103,466,72.5
103,505,69
103,,
103,60,43
103,229,
103,264,62
103,373,63.5
103,409,67.5
103,594,62
103,,
103,60,20.5
103,238,64.5
103,350,59.5
103,393,62.5
103,490,25
103,689,26.5
103,,
103,60,26.5
103,254,26.5
103,301,26
103,368,26
103,461,23.5
103,649,33
103,,
103,60,15
103,279,46
103,345,45
103,451,24.5
103,515,65.5
103,686,61
103,,
103,60,31
103,210,64
103,272,68
103,387,64.5
103,441,67.5
103,490,66
103,,
103,60,24
103,229,66
103,286,70
103,381,65
103,473,72
103,665,64
103,,
103,60,22.5
103,240,63.5
103,319,66
103,428,
103,516,67.5
103,592,60
103,,
103,60,27
103,272,64.5
103,302,60.5
103,402,60.5
103,467,49
103,651,49
103,,
103,60,49
103,239,49
103,322,49
103,430,49
103,470,49
103,644,49
103,,
104,120,55
104,214,57
104,332,87
104,381,91
104,496,92
104,654,41
104,,
104,120,34
104,215,
104,295,
104,393,67
104,499,34.5
104,663,91.5
104,,
104,120,18
104,239,91.5
104,274,86
104,382,75
104,459,99
104,678,72
104,,
104,120,39.5
104,221,46.5
104,286,65.5
104,324,81.5
104,419,50
104,509,41
104,,
104,120,52.5
104,220,73.5
104,325,56.5
104,385,
104,468,
104,577,62.5
104,,
104,120,61.5
104,259,
104,353,
104,387,
104,497,
104,601,
104,,
104,120,20.5
104,267,
104,335,26.5
104,444,54.5
104,512,
104,567,
104,,
104,120,64.5
104,219,66
104,291,61
104,327,64
104,494,55.5
104,658,33
104,,
104,120,79
104,235,79.5
104,292,65
104,339,54
104,376,
104,518,57
104,,
104,120,69
104,243,73.5
104,292,
104,346,78.5
104,443,67
104,631,
104,,
104,120,70
104,210,
104,248,78.5
104,304,79.5
104,481,81
104,633,79
104,,
104,120,64
104,262,69
104,310,
104,405,78
104,454,63
104,534,41.5
104,,
104,120,39
104,234,
104,346,69.5
104,394,69
104,508,
104,604,33
104,,
104,120,26
104,277,26.5
104,339,30.5
104,383,34.5
104,454,36.5
104,534,41
104,,
104,120,54.5
104,215,13.5
104,331,54.5
104,434,
104,553,57.5
104,638,75.5
104,,
104,120,61
104,274,61.5
104,325,61.5
104,402,63.5
104,438,56.5
104,669,59.5
104,,
104,120,58
104,267,48.5
104,312,66.5
104,403,58
104,458,54
104,610,84
104,,
104,120,79
104,230,58
104,276,87.5
104,384,78.5
104,477,
104,639,79
104,,
104,120,64
104,249,
104,296,79.5
104,346,81
104,505,85
104,552,
104,,
104,120,77
104,227,
104,311,69.5
104,415,76.5
104,481,84
104,603,43.5
104,,
104,120,25
104,280,54.5
104,350,
104,381,
104,423,25
104,,
105,60,65.5
105,210,
105,321,26
105,430,34
105,549,
105,587,30.5
105,,
105,60,53
105,228,44
105,262,46.5
105,398,63
105,537,50.5
105,574,36.5
105,,
105,60,38.5
105,244,64
105,352,66.5
105,436,84
105,486,71
105,620,70.5
105,,
105,60,58.5
105,229,42.5
105,298,34
105,337,50.5
105,367,74.5
105,491,74
105,,
105,60,19.5
105,270,68
105,323,66
105,355,73
105,510,41
105,576,38.5
105,,
105,60,39
105,218,36.5
105,254,45
105,308,
105,369,41.5
105,570,65
105,,
105,60,66.5
105,242,
105,316,
105,371,83
105,496,62
105,654,72
105,,
105,60,66
105,215,68
105,249,68.5
105,311,
105,342,82.5
105,480,68
105,,
105,60,71.5
105,244,85
105,313,83
105,398,75.5
105,468,
105,533,60.5
105,,
105,60,69.5
105,255,67.5
105,351,68
105,440,57
105,539,
105,627,73
105,,
105,60,44.5
105,230,57
105,309,44
105,410,49.5
105,472,59.5
105,618,83.5
105,,
105,60,59.5
105,265,57
105,365,64
105,452,53.5
105,489,63
105,577,74
105,,
105,60,36
105,242,59.5
105,343,
105,435,48.5
105,496,65
105,660,69.5
105,,
105,60,39.5
105,274,63
105,363,66
105,430,36
105,541,
105,597,70.5
105,,
105,60,43.5
105,221,23
105,261,62
105,367,61
105,468,67
105,646,79.5
105,,
105,60,64.5
105,236,48
105,331,39.5
105,401,
105,438,49.5
105,646,47.5
105,,
105,60,42.5
105,272,36.5
105,371,63.5
105,418,57
105,549,48.5
105,662,46.5
105,,
105,60,78.5
105,246,59.5
105,332,68
105,383,45
105,534,61.5
105,624,70
105,,
105,60,49.5
105,257,39.5
105,319,
105,419,
105,480,65.5
105,570,71.5
105,,
105,60,45.5
105,226,
105,257,37
105,344,63
105,455,45.5
105,619,41
105,,
105,60,67.5
105,278,60
105,319,73.5
105,436,65.5
105,470,69
105,519,63
105,,
106,120,85
106,268,
106,346,100
106,458,84
106,512,86
106,605,91
106,,
106,120,85
106,260,69
106,351,73.5
106,405,75
106,529,80
106,611,65.5
106,,
106,120,45
106,226,70
106,301,75.5
106,395,81.5
106,529,67
106,681,65
106,,
106,120,72.5
106,270,
106,329,69
106,443,65.5
106,543,60
106,663,73
106,,
106,120,80
106,232,82.5
106,327,82
106,416,79
106,545,93
106,650,84.5
106,,
106,120,63
106,221,85.5
106,299,73
106,399,84
106,505,95.5
106,627,74
106,,
106,120,85.5
106,219,
106,258,87
106,387,82.5
106,453,78
106,541,79.5
106,,
106,120,77.5
106,236,
106,289,94
106,381,72.5
106,469,79
106,674,64
106,,
106,120,85
106,231,82
106,311,91
106,413,96
106,460,83
106,616,
106,,
106,120,82
106,274,82
106,339,82.5
106,390,77
106,470,77.5
106,632,85
106,,
106,120,69.5
106,274,80
106,369,76
106,473,84
106,543,71.5
106,646,75
106,,
106,120,85.5
106,222,78
106,310,
106,433,
106,470,65.5
106,546,72
106,,
106,120,75.5
106,234,90
106,293,100
106,388,81
106,458,99
106,501,85.5
106,,
106,120,82.5
106,218,100
106,291,90.5
106,378,90.5
106,518,84.5
106,596,80
106,,
106,120,92
106,272,82
106,366,85
106,469,100
106,542,89
106,638,55.5
106,,
106,120,81.5
106,278,100
106,344,73
106,438,76
106,546,69.5
106,600,67.5
106,,
106,120,77
106,230,91
106,339,88
106,392,76.5
106,452,80.5
106,676,71.5
106,,
106,120,52.5
106,240,83.5
106,317,93.5
106,396,67.5
106,477,66
106,516,49
106,,
106,120,87.5
106,241,80.5
106,322,69.5
106,438,91.5
106,504,89.5
106,614,99
106,,
106,120,81
106,243,80.5
106,305,78
106,398,63
106,429,70.5
106,508,81
106,,
106,120,55
106,279,73.5
106,371,74
106,474,
106,552,76
106,612,58.5
106,,
107,60,57
107,279,65.5
107,357,65.5
107,414,61.5
107,498,64.5
107,593,67.5
107,,
107,60,67
107,267,66
107,347,69
107,435,
107,504,74
107,654,74.5
107,,
107,60,64
107,237,68.5
107,338,69
107,416,69
107,548,66.5
107,616,74
107,,
107,60,67
107,239,73
107,303,64.5
107,389,72.5
107,420,69
107,677,75
107,,
107,60,59.5
107,240,70
107,300,72
107,337,74
107,497,74
107,604,83
107,,
107,60,76.5
107,249,70
107,334,69
107,394,71
107,458,69
107,667,71
107,,
107,60,70
107,231,71
107,300,65
107,375,67.5
107,472,66.5
107,600,66
107,,
107,60,75.5
107,259,69
107,327,73.5
107,435,71
107,489,67
107,658,68.5
107,,
107,60,66.5
107,277,83.5
107,345,70.5
107,443,69.5
107,503,67
107,636,63.5
107,,
107,60,68
107,225,68.5
107,340,60.5
107,425,65
107,533,68
107,610,67
107,,
107,60,73
107,261,71
107,325,
107,383,76.5
107,488,89.5
107,554,81.5
107,,
107,60,78
107,255,
107,314,70
107,362,68
107,438,73
107,560,68
107,,
107,60,67
107,243,73
107,342,72.5
107,414,70.5
107,489,74
107,549,67
107,,
107,60,73
107,211,75
107,330,64.5
107,380,69
107,445,73
107,546,61
107,,
107,60,66.5
107,247,72.5
107,286,71
107,342,71
107,445,69.5
107,477,67
107,,
107,60,65
107,269,69
107,317,69
107,402,68.5
107,526,68
107,686,76
107,,
107,60,60.5
107,231,72.5
107,304,74
107,377,
107,506,71
107,596,71
107,,
107,60,69
107,280,74
107,311,70
107,359,71.5
107,450,74.5
107,494,66
107,,
107,60,76
107,273,
107,368,75
107,444,77.5
107,524,71.5
107,593,73.5
107,,
107,60,78.5
107,257,73
107,302,69.5
107,382,74.5
107,467,75.5
107,649,69.5
107,,
107,60,70
107,244,74
107,319,69
107,433,70
107,557,71.5
107,604,71
107,,
108,120,84
108,256,
108,361,60.5
108,425,48
108,524,67.5
108,660,97.5
108,,
108,120,25.5
108,210,49.5
108,299,26
108,422,38.5
108,506,31
108,598,74
108,,
108,120,66
108,234,35.5
108,309,100
108,377,7.5
108,431,66
108,558,82.5
108,,
108,120,49.5
108,247,71.5
108,338,69.5
108,426,73
108,503,34
108,644,74.5
108,,
108,120,80.5
108,260,81.5
108,317,85.5
108,431,55.5
108,479,30.5
108,678,69.5
108,,
108,120,73.5
108,218,73
108,250,69
108,331,48
108,477,28.5
108,544,78.5
108,,
108,120,69.5
108,239,70.5
108,328,28.5
108,437,49
108,516,
108,586,50
108,,
108,120,74.5
108,237,77.5
108,271,34.5
108,332,58
108,475,29.5
108,567,66.5
108,,
108,120,64.5
108,280,49.5
108,364,5.5
108,442,76.5
108,540,73.5
108,663,79
108,,
108,120,62.5
108,221,66.5
108,323,71.5
108,414,
108,511,57
108,556,75.5
108,,
108,120,75
108,280,
108,374,100
108,445,100
108,553,53
108,610,13.5
108,,
108,120,53
108,217,
108,251,71.5
108,331,56
108,490,29.5
108,687,84.5
108,,
108,120,87.5
108,240,54
108,308,94.5
108,410,76.5
108,531,75
108,617,16
108,,
108,120,12
108,258,26.5
108,321,49.5
108,423,71
108,537,
108,595,77
108,,
108,120,52
108,260,78.5
108,297,56.5
108,349,79
108,511,17
108,541,70.5
108,,
108,120,21.5
108,257,52
108,340,23
108,377,23.5
108,454,23
108,557,42.5
108,,
108,120,80
108,219,52
108,329,55.5
108,366,21
108,496,53
108,645,47
108,,
108,120,29
108,277,12.5
108,375,
108,407,47.5
108,547,47.5
108,663,75.5
108,,
108,120,24.5
108,246,52
108,323,38
108,398,54.5
108,468,29
108,517,24
108,,
108,120,79.5
108,234,22
108,324,51.5
108,420,55.5
108,511,50
108,607,53
108,,
108,120,17.5
108,225,57
108,266,52.5
108,382,24.5
108,419,45.5
108,485,51
108,,
109,120,
109,233,
109,344,
109,413,
109,473,
109,507,
109,,
109,120,
109,254,
109,313,
109,409,
109,511,
109,649,
109,,
109,120,
109,227,
109,268,
109,405,
109,534,
109,624,
109,,
109,120,
109,215,
109,269,
109,391,
109,476,
109,608,
109,,
109,120,
109,275,
109,352,
109,437,
109,551,
109,607,
109,,
109,120,
109,221,
109,287,
109,320,
109,456,
109,678,
109,,
109,120,27.5
109,279,
109,319,
109,369,
109,485,
109,651,30
109,,
109,120,54
109,228,67
109,317,65
109,387,
109,419,
109,552,74
109,,
109,120,52.5
109,219,
109,294,
109,329,
109,388,68
109,677,70.5
109,,
109,120,47.5
109,256,
109,345,
109,457,
109,551,
109,674,76.5
109,,
109,120,
109,221,
109,282,
109,416,
109,488,
109,625,
109,,
109,120,
109,219,
109,333,
109,375,
109,526,
109,565,70
109,,
109,120,57.5
109,216,
109,297,
109,346,
109,,
110,60,96
110,267,100
110,343,82
110,431,84.5
110,544,89
110,679,86
110,,
110,60,97.5
110,278,81
110,380,100
110,460,83.5
110,572,90.5
110,670,53
110,,
110,60,92
110,247,80.5
110,289,80.5
110,401,88
110,440,85
110,493,26
110,,
110,60,91
110,244,90
110,290,83.5
110,361,86
110,422,88.5
110,686,77.5
110,,
110,60,85.5
110,235,89.5
110,289,64.5
110,347,90
110,415,85.5
110,554,85
110,,
110,60,
110,224,86
110,304,
110,351,
110,440,
110,505,88.5
110,,
110,60,
110,230,
110,327,83
110,371,
110,442,
110,577,94.5
110,,
110,60,99.5
110,215,91
110,296,97.5
110,425,
110,506,88
110,613,100
110,,
110,60,58.5
110,259,
110,345,
110,432,
110,514,51
110,586,65
110,,
110,60,87
110,258,79
110,330,
110,394,95
110,488,90
110,532,77
110,,
110,60,77.5
110,275,
110,369,
110,404,
110,527,
110,664,
110,,
110,60,
110,214,
110,252,
110,286,77
110,350,
110,524,
110,,
110,60,
110,253,
110,,
111,60,78
111,240,73
111,304,77
111,389,77.5
111,529,70.5
111,682,84.5
111,,
111,60,88.5
111,251,84
111,338,86.5
111,444,84
111,505,89
111,568,79
111,,
111,60,85.5
111,272,85.5
111,366,80
111,449,88
111,537,76
111,624,79.5
111,,
111,60,85.5
111,246,86
111,290,84.5
111,398,82.5
111,434,83
111,613,82
111,,
111,60,84.5
111,256,85.5
111,364,84
111,415,84
111,534,95
111,653,88.5
111,,
111,60,86.5
111,273,87
111,315,87
111,439,87
111,482,92.5
111,636,90.5
111,,
111,60,88.5
111,235,66.5
111,300,73
111,388,69.5
111,461,81
111,620,87
111,,
111,60,86.5
111,267,74.5
111,321,78.5
111,369,86
111,529,79.5
111,559,82
111,,
111,60,79
111,245,79.5
111,307,65.5
111,359,96.5
111,392,82.5
111,474,69
111,,
111,60,74
111,220,82
111,284,77.5
111,324,77.5
111,472,86
111,522,81.5
111,,
111,60,83.5
111,273,
111,370,88
111,454,82.5
111,499,82
111,627,82.5
111,,
111,60,80
111,264,74
111,346,81.5
111,417,78.5
111,474,82
111,679,76
111,,
111,60,79.5
111,243,75.5
111,287,65
111,414,76.5
111,465,75.5
111,560,68
111,,
111,60,65.5
111,271,66
111,374,76
111,439,71
111,507,68
111,563,61
111,,
111,60,73
111,253,83
111,305,69.5
111,415,68
111,522,79.5
111,620,73.5
111,,
111,60,69.5
111,264,79
111,368,85
111,454,76.5
111,562,74
111,606,80.5
111,,
111,60,78.5
111,238,71
111,342,75
111,453,72.5
111,502,69.5
111,671,83.5
111,,
111,60,75.5
111,258,80
111,356,74
111,395,75
111,479,87
111,534,77
111,,
111,60,74
111,258,81
111,331,80
111,398,79.5
111,502,76
111,687,75.5
111,,
111,60,71.5
111,213,74
111,289,79
111,344,76.5
111,431,76
111,618,78.5
111,,
111,60,76.5
111,268,79
111,300,80
111,376,75.5
111,484,81
111,618,70
111,,
113,60,4.5
113,246,38
113,324,57.5
113,373,11
113,523,13.5
113,673,30
113,,
113,60,12
113,263,23
113,299,15
113,361,1
113,428,19.5
113,543,25
113,,
113,60,1
113,214,33
113,333,1
113,394,10
113,462,11.5
113,651,18.5
113,,
113,60,5.5
113,235,22
113,335,
113,415,24.5
113,532,7
113,586,30.5
113,,
113,60,6
113,218,1
113,314,13
113,383,
113,429,16
113,621,14.5
113,,
113,60,6
113,250,2.5
113,300,
113,405,22
113,507,5
113,636,1
113,,
113,60,15
113,274,18.5
113,361,
113,408,14
113,463,27
113,561,17
113,,
113,60,6.5
113,262,10
113,344,3.5
113,431,34
113,533,11
113,567,12.5
113,,
113,60,35
113,262,
113,336,16.5
113,432,45.5
113,481,1
113,604,35
113,,
113,60,1
113,267,
113,315,1
113,378,8.5
113,455,1
113,581,12
113,,
113,60,8
113,231,14
113,284,
113,399,
113,460,9
113,514,6.5
113,,
113,60,8
113,258,1
113,333,1
113,430,1
113,503,1
113,541,1
113,,
115,60,31
115,279,61.5
115,370,48
115,433,51.5
115,559,74
115,605,53
115,,
115,60,21
115,275,52.5
115,371,60.5
115,447,74.5
115,517,64.5
115,658,27.5
115,,
115,60,36
115,244,41.5
115,327,51.5
115,377,27
115,510,23
115,681,75
115,,
115,60,58.5
115,238,28
115,286,34
115,371,64
115,476,24.5
115,654,17
115,,
115,60,70
115,211,33
115,264,28
115,323,73
115,355,67
115,579,77.5
115,,
115,60,78.5
115,230,
115,286,66.5
115,413,80.5
115,454,82.5
115,641,15.5
115,,
115,60,79.5
115,223,82.5
115,271,51.5
115,405,76.5
115,525,72.5
115,594,69.5
115,,
115,60,68.5
115,256,82.5
115,330,80.5
115,409,87
115,545,52.5
115,602,48.5
115,,
115,60,72
115,230,62.5
115,282,76.5
115,340,68.5
115,416,62
115,632,70
115,,
115,60,71
115,233,
115,266,45
115,308,75
115,426,50.5
115,658,70.5
115,,
115,60,76.5
115,251,81
115,283,76
115,386,20
115,496,84.5
115,559,49
115,,
115,60,73
115,213,
115,262,56
115,334,
115,508,80
115,669,77.5
115,,
115,60,68
115,223,73.5
115,265,70
115,322,50
115,366,77
115,674,50
115,,
115,60,72
115,223,78
115,265,72
115,350,73.5
115,496,
115,547,78.5
115,,
115,60,74
115,256,75
115,333,74
115,368,68
115,516,72
115,582,72.5
115,,
115,60,75.5
115,251,73
115,298,71.5
115,420,78
115,511,77
115,604,50.5
115,,
115,60,69
115,236,82
115,283,66.5
115,407,72
115,475,72
115,553,73.5
115,,
115,60,69.5
115,256,72
115,309,65
115,423,75
115,492,70
115,606,79
115,,
115,60,70
115,247,33.5
115,337,77
115,446,65.5
115,540,70.5
115,623,73
115,,
115,60,52
115,281,
115,344,67
115,430,73
115,506,69.5
115,673,55.5
115,,
115,60,71.5
115,238,41
115,271,67
115,372,73.5
115,489,68
115,633,67.5
115,,
112,0,67.5
112,225,
112,263,
112,336,
112,427,98.5
112,650,97.5
112,,
112,0,97
112,214,
112,282,
112,340,95.5
112,470,88.5
112,534,
112,,
112,0,74.5
112,223,
112,293,96.5
112,410,
112,528,93
112,628,96.5
112,,
112,0,97.5
112,256,85.5
112,362,82.5
112,422,84
112,517,
112,600,61
112,,
112,0,39
112,264,
112,300,70
112,393,64.5
112,489,79
112,632,97.5
112,,
112,0,70
112,222,
112,269,89.5
112,381,94
112,427,21
112,607,92.5
112,,
112,0,95.5
112,246,69
112,349,87.5
112,445,55.5
112,497,53.5
112,643,60
112,,
112,0,47.5
112,249,
112,313,87.5
112,364,30.5
112,489,40.5
112,604,57
112,,
112,0,63
112,217,91.5
112,294,
112,330,77
112,439,82
112,618,34
112,,
112,0,49.5
112,266,27
112,342,58.5
112,416,21.5
112,527,89
112,599,30
112,,
112,0,92
112,232,88.5
112,312,93.5
112,411,63
112,543,
112,650,98.5
112,,
112,0,90.5
112,219,74
112,277,74
112,362,73.5
112,414,71
112,486,68
112,,
112,0,47
112,237,
112,283,63
112,366,97.5
112,507,45.5
112,570,90
112,,
112,0,71.5
112,264,74.5
112,341,85
112,382,
112,463,70
112,615,95.5
112,,
112,0,81
112,231,56
112,283,
112,315,92.5
112,368,92
112,641,64.5
112,,
112,0,59
112,231,41
112,276,89.5
112,367,87
112,510,82
112,579,81
112,,
112,0,82
112,273,99.5
112,372,91.5
112,424,69
112,505,97
112,560,
112,,
112,0,83.5
112,214,
112,258,
112,340,
112,375,89.5
112,501,34
112,,
112,0,78
112,281,90
112,324,89.5
112,389,53
112,458,80
112,576,44
112,,
112,0,58
112,223,56
112,292,53
112,345,70
112,423,60.5
112,477,
112,,
112,0,81.5
112,261,81
112,342,93
112,416,78
112,497,29.5
112,,
116,120,57.5
116,284,70
116,319,72
116,368,30.5
116,503,74.5
116,682,55
116,,
116,120,50
116,297,80.5
116,395,31.5
116,469,
116,538,76
116,627,51.5
116,,
116,120,25.5
116,283,73.5
116,337,77.5
116,454,64.5
116,492,68.5
116,633,32.5
116,,
116,120,50.5
116,274,78.5
116,373,79.5
116,427,77
116,544,73
116,616,76.5
116,,
116,120,33.5
116,294,48
116,375,80.5
116,411,79
116,529,66.5
116,649,66
116,,
116,120,62.5
116,295,47
116,376,
116,431,75
116,550,80
116,640,45.5
116,,
116,120,57.5
116,288,45
116,365,
116,463,64
116,554,59
116,660,64.5
116,,
116,120,36
116,277,69.5
116,365,79.5
116,440,55
116,507,63.5
116,663,71
116,,
116,120,37
116,297,76
116,393,68
116,424,67
116,546,73
116,597,78.5
116,,
116,120,61
116,242,74
116,320,69.5
116,417,60.5
116,537,70
116,603,67
116,,
116,120,22
116,296,59
116,362,74
116,400,68.5
116,524,62
116,575,72
116,,
116,120,61
116,248,64.5
116,279,69.5
116,314,69
116,490,68
116,524,70
116,,
116,120,48.5
116,250,31.5
116,317,73
116,408,85
116,476,71
116,531,61
116,,
116,120,59.5
116,295,68.5
116,354,71
116,428,68
116,500,70
116,612,39
116,,
116,120,43
116,282,59.5
116,337,61.5
116,447,62
116,500,59.5
116,633,65
116,,
116,120,62.5
116,283,66
116,337,61
116,404,60.5
116,479,56
116,564,64.5
116,,
116,120,59.5
116,291,63.5
116,325,58.5
116,396,62
116,435,60
116,626,66
116,,
116,120,62.5
116,253,72
116,355,86.5
116,455,77.5
116,562,72.5
116,606,75
116,,
116,120,77
116,253,84.5
116,290,81
116,361,77
116,410,83
116,644,81.5
116,,
116,120,82
116,250,90
116,310,73.5
116,386,66
116,446,75
116,521,67.5
116,,
116,120,43
116,265,67
116,353,68.5
116,392,63.5
116,491,64.5
116,534,63
116,,
117,60,98.5
117,229,81.5
117,294,85
117,360,71
117,425,73.5
117,600,
117,,
117,60,65.5
117,217,76
117,285,44.5
117,415,68
117,493,73.5
117,537,71
117,,
117,60,76
117,225,89.5
117,315,87
117,434,79
117,514,73
117,607,55
117,,
117,60,60.5
117,236,70
117,275,72
117,393,91
117,426,94.5
117,475,73.5
117,,
117,60,88.5
117,244,100
117,334,99.5
117,405,79.5
117,463,94
117,663,24.5
117,,
117,60,74.5
117,258,63
117,297,83
117,371,96
117,508,64.5
117,656,55.5
117,,
117,60,75.5
117,230,92
117,271,86.5
117,313,79
117,473,52.5
117,649,72
117,,
117,60,78.5
117,266,68
117,368,87.5
117,418,75
117,469,76.5
117,640,61.5
117,,
117,60,47
117,258,82
117,337,79
117,428,84
117,479,79.5
117,647,56
117,,
117,60,30.5
117,258,46
117,320,54.5
117,381,54.5
117,456,61.5
117,494,51.5
117,,
117,60,46
117,213,42
117,251,56.5
117,341,50.5
117,473,52.5
117,597,64
117,,
117,60,43.5
117,215,66.5
117,274,55
117,337,7
117,432,75.5
117,623,
117,,
117,60,73.5
117,271,77
117,308,72
117,434,90
117,540,82.5
117,651,87
117,,
117,60,86.5
117,280,81
117,354,83.5
117,398,87
117,481,76.5
117,619,88
117,,
117,60,78.5
117,251,76.5
117,327,77
117,436,78
117,489,78.5
117,626,86.5
117,,
117,60,78.5
117,233,84
117,341,70
117,422,73
117,507,75
117,677,77.5
117,,
117,60,68
117,263,71
117,315,71
117,396,73.5
117,427,72
117,620,71.5
117,,
117,60,85.5
117,229,85.5
117,341,68.5
117,410,76.5
117,484,68.5
117,558,95.5
117,,
117,60,77.5
117,222,92.5
117,325,93
117,414,75.5
117,512,
117,591,68.5
117,,
117,60,68
117,240,78
117,332,62.5
117,378,75
117,517,72.5
117,618,68
117,,
117,60,56.5
117,210,59
117,316,73
117,364,73
117,468,71
117,623,53.5
117,,
118,180,95.5
118,303,85
118,363,84
118,458,83.5
118,516,85.5
118,680,
118,,
118,180,74.5
118,339,86.5
118,373,
118,408,
118,544,
118,648,53
118,,
118,180,78
118,346,78
118,382,84
118,472,75.5
118,510,
118,605,79
118,,
118,180,80.5
118,351,85.5
118,414,
118,475,
118,533,
118,659,
118,,
118,180,80
118,304,88.5
118,343,
118,404,
118,506,82.5
118,598,
118,,
118,180,83
118,310,82.5
118,347,85.5
118,414,
118,492,
118,668,92
118,,
118,180,92
118,306,
118,376,86.5
118,449,
118,552,
118,608,88.5
118,,
118,180,54.5
118,322,
118,382,87
118,470,
118,559,
118,618,80.5
118,,
118,180,96.5
118,305,
118,390,94
118,437,
118,507,
118,580,83
118,,
118,180,88
118,340,92.5
118,373,
118,420,92.5
118,458,
118,566,86
118,,
118,180,91
118,334,
118,396,
118,439,88.5
118,471,
118,611,
118,,
118,180,90.5
118,334,
118,392,
118,473,86.5
118,524,
118,571,
118,,
118,180,89
118,323,88
118,391,
118,473,
118,536,
118,569,
118,,
118,180,85.5
118,326,
118,416,
118,492,
118,550,
118,666,81
118,,
118,180,
118,332,
118,378,
118,434,
